id,sentence
1,주말에 친구들과 등산 가셨어요?
2,요즘 건강 관리 신경 쓰세요?
3,새로운 책 읽고 계세요?
4,혹시 이 근처 맛집 아세요?
5,요즘 일 때문에 스트레스 받으세요?
6,아침에 조깅하는 거 상쾌하죠?
7,주말에 가족과 여행 가셨어요?
8,이번 주말에 여행 계획 있으세요?
9,요즘 취미로 그림 그리세요?
10,어제 친구와 뭐 하셨어요?
11,음악 감상하는 거 좋아하세요?
12,요즘 날씨 너무 좋죠?
13,아침에 산책하는 거 좋아하세요?
14,평소에 책 읽는 거 즐기세요?
15,점심으로 뭐 드실 건가요?
16,지금 어떤 책 읽고 계세요?
17,누가 좀 도와줄 수 있나요?
18,새로운 취미 찾고 계신가요?
19,주말에 친구들과 모임 있으세요?
20,요즘 독서에 푹 빠져 계세요?
21,날씨가 갑자기 많이 추워졌죠?
22,등산 좋아하시는 편인가요?
23,요즘 많이 바쁘신가요?
24,시간 없어서 끼니 거르진 않으세요?
25,요즘 일찍 자려고 노력하세요?
26,주말에 보통 뭐 하세요?
27,저녁 먹고 산책하는 거 어때요?
28,가족들과 시간 자주 보내세요?
29,새로운 외국어 배우고 계세요?
30,혹시 커피 좋아하세요?
31,오늘 컨디션은 좀 어때요?
32,어제 축구 경기 보셨어요?
33,퇴근하고 보통 뭐 하세요?
34,좋아하는 영화 장르가 뭐예요?
35,휴가 계획은 세우셨나요?
36,반려동물 키우시나요?
37,요즘 유행하는 드라마 보셨어요?
38,매운 음식 잘 드시나요?
39,스트레스는 어떻게 푸세요?
40,운전하는 거 좋아하세요?
41,가장 좋아하는 계절이 언제인가요?
42,주말에 영화 보러 갈까요?
43,사진 찍는 거 좋아하세요?
44,요즘 다이어트 중이신가요?
45,어떤 스타일의 옷을 좋아하세요?
46,유튜브 자주 보시나요?
47,요리하는 거 좋아하세요?
48,가장 가보고 싶은 여행지는 어디예요?
49,오늘 저녁 메뉴 추천해 주실래요?
50,혹시 안경 쓰셨어요?
51,자전거 타는 거 좋아하세요?
52,비 오는 날 좋아하세요?
53,단 음료 좋아하시는 편인가요?
54,노래방 가는 거 좋아하세요?
55,가장 기억에 남는 선물이 있나요?
56,주말에 늦잠 자는 편인가요?
57,쇼핑하러 자주 가세요?
58,혹시 형제나 자매 있으세요?
59,어릴 때 꿈이 뭐였어요?
60,가장 좋아하는 색깔이 뭐예요?
61,대중교통 자주 이용하세요?
62,야식 자주 드시는 편인가요?
63,캠핑 가본 적 있으세요?
64,악기 다를 줄 아는 거 있으세요?
65,집에 있는 걸 좋아하세요?
66,꽃 선물 받는 거 좋아하세요?
67,일출 보러 가본 적 있으세요?
68,혼자 밥 먹는 거 괜찮으세요?
69,놀이공원 가는 거 좋아하세요?
70,공포 영화 잘 보세요?
71,가장 좋아하는 과일이 뭐예요?
72,물은 자주 마시는 편인가요?
73,영양제 챙겨 드시고 계세요?
74,가장 좋아하는 가수가 누구예요?
75,뮤지컬 관람 좋아하세요?
76,전시회 보러 가는 거 즐기세요?
77,집안일 중에 뭘 제일 싫어하세요?
78,오늘 하루 즐거우셨나요?
79,내일 날씨 확인하셨어요?
80,약속 시간에 잘 지키는 편인가요?
81,새로운 사람 만나는 거 좋아하세요?
82,일기는 매일 쓰시나요?
83,가장 아끼는 물건이 있나요?
84,바다랑 산 중에 어디가 더 좋아요?
85,여름휴가 때 뭐 하실 거예요?
86,겨울 간식 중에 뭐 제일 좋아하세요?
87,편의점 자주 가시나요?
88,혹시 알레르기 있으세요?
89,차 마시는 거 좋아하세요?
90,오늘따라 기분이 좋아 보이네요?
91,혹시 제 목소리 잘 들리세요?
92,컴퓨터 게임 좋아하세요?
93,가장 최근에 운 게 언제예요?
94,아침 식사는 꼭 챙겨 드세요?
95,좋아하는 꽃이 있나요?
96,소확행이 뭐라고 생각하세요?
97,요즘 고민 있으세요?
98,주말에 결혼식장 가세요?
99,친구들과 자주 연락하세요?
100,나중에 어떤 집에 살고 싶으세요?
