id,sentence
1,새로 산 시계가 마음에 들어요.
2,주말에는 가족과 함께 공원에 다녀왔어요.
3,친구와 함께 사진 전시회를 다녀왔어요.
4,친구와 함께 요리 교실에 등록했어요.
5,새로 산 신발이 편해서 좋아요.
6,새로운 취미로 그림 그리기를 시작했어요.
7,어제 본 드라마의 결말이 정말 감동적이었어요.
8,운동을 시작한 지 한 달 됐는데 몸이 가벼워졌어요.
9,오늘 날씨가 정말 맑고 따뜻하네요.
10,요즘 건강을 위해 식단을 조절하고 있어요.
11,오랜만에 부모님과 전화 통화를 했어요.
12,최근에 본 영화 중에서 이 작품이 가장 인상 깊었어요.
13,지난주에 갔던 전시회가 기억에 남아요.
14,새로 산 옷이 마음에 들어서 기분이 좋아요.
15,요즘 체력 관리를 위해 운동을 시작했어요.
16,친구 생일 선물로 무엇을 살지 고민 중이에요.
17,새로운 취미로 사진 찍기를 시작했어요.
18,새로 이사한 집에서 첫 요리를 해봤어요.
19,새로 이사한 동네에서 좋은 공원을 발견했어요.
20,요즘 날씨가 추워져서 따뜻한 옷을 꺼냈어요.
21,새로 산 가방이 실용적이고 예뻐요.
22,집들이 음식으로 파스타를 만들었어요.
23,요즘 날씨가 선선해서 산책하기 좋아요.
24,오랜만에 친구와 함께 쇼핑을 갔어요.
25,최근에 본 연극이 정말 재미있었어요.
26,새로 산 구두가 발에 잘 맞아서 편해요.
27,주말에 가족과 함께 놀이공원에 다녀왔어요.
28,어제 본 뮤지컬 무대가 정말 화려했어요.
29,새로 오픈한 카페에 가봤는데 분위기가 좋았어요.
30,주말에 가족과 함께 영화관에 갔어요.
31,새로 산 카메라로 사진 찍는 재미에 빠졌어요.
32,오랜만에 고향 친구들을 만나서 즐거웠어요.
33,주말에 가족과 함께 가까운 산에 갔어요.
34,아침에 모닝커피 한 잔 마시니 기분이 좋아요.
35,우리 동네 골목에 숨은 맛집을 발견했어요.
36,퇴근 후에 직장 동료들과 영화 보러 갔어요.
37,요즘 날씨가 좋아서 자전거 타기 딱이에요.
38,주말마다 제빵 수업에 참석하고 있어요.
39,새로운 직장에서 첫 출근을 무사히 마쳤어요.
40,햇살이 좋아서 빨래 널기 좋은 날이에요.
41,새로 산 소설책이 너무 재미있어서 밤새 읽었어요.
42,친구와 함께 대학로에 연극을 보러 갔어요.
43,새로 이사한 집에서 조촐한 파티를 열었어요.
44,오랜만에 친구와 브런치 카페에 갔어요.
45,주말에 등산을 갔는데 단풍이 정말 아름다웠어요.
46,건강을 위해 요가 수업을 등록했어요.
47,주말에 아이들과 함께 박물관에 갔어요.
48,아침에 일찍 일어나서 스트레칭을 했어요.
49,새로 산 모자가 코트랑 잘 어울려요.
50,아침 공기를 마시며 조깅을 하니 상쾌해요.
51,오랜만에 자전거를 타고 한강변을 달렸어요.
52,주말에 가족과 함께 동물원에 나들이 갔어요.
53,오늘 점심은 김치찌개를 먹었어요.
54,비가 오니까 따뜻한 차가 생각나요.
55,퇴근길에 우연히 옛 친구를 마주쳤어요.
56,내일 중요한 발표가 있어서 조금 긴장돼요.
57,요즘 영어 회화 학원을 다니고 있어요.
58,어제 밤에 모기 때문에 잠을 설쳤어요.
59,주말에 집에서 밀린 잠을 푹 잤어요.
60,새로 바꾼 샴푸 향기가 참 좋아요.
61,이번 휴가 때 제주도에 갈 계획이에요.
62,인터넷으로 주문한 택배가 드디어 도착했어요.
63,오랜만에 방 청소를 대청소 수준으로 했어요.
64,요즘 식물을 키우는 재미에 푹 빠졌어요.
65,퇴근하고 맥주 한잔하는 게 소소한 행복이에요.
66,다음 달에 친구 결혼식이 있어요.
67,머리 스타일을 짧게 바꿨는데 시원해요.
68,편의점에서 새로 나온 과자를 사 먹었어요.
69,유튜브 보고 맛있는 요리 레시피를 배웠어요.
70,길 가다가 귀여운 고양이를 봤어요.
71,오늘따라 지하철에 사람이 정말 많네요.
72,감기 기운이 있어서 따뜻한 물을 마시고 있어요.
73,이번 주말에는 아무것도 안 하고 쉬고 싶어요.
74,도서관에서 빌린 책을 다 읽어서 반납했어요.
75,친구가 직접 만든 쿠키를 선물로 줬어요.
76,요즘 넷플릭스 드라마 정주행 중이에요.
77,오랜만에 손편지를 써봤어요.
78,가을이라 그런지 하늘이 참 높고 파래요.
79,새로 산 운동화 끈이 자꾸 풀려서 귀찮아요.
80,오늘 저녁에는 치킨을 시켜 먹을 거예요.
81,미용실 예약이 꽉 차서 다음 주에 가야 해요.
82,요즘 다이어트하느라 샐러드만 먹고 있어요.
83,갑자기 소나기가 내려서 옷이 다 젖었어요.
84,오랜만에 노래방 가서 스트레스를 풀었어요.
85,부모님 결혼기념일이라 꽃다발을 샀어요.
86,집 앞에 맛있는 붕어빵 가게가 생겼어요.
87,겨울옷을 세탁소에 맡겨야 해요.
88,친구랑 메신저로 시간 가는 줄 모르고 수다 떨었어요.
89,오늘따라 커피가 평소보다 더 맛있네요.
90,버스 창밖으로 보이는 풍경이 예뻐요.
91,퇴근하고 서점에 들러서 책을 좀 구경했어요.
92,집에 오는 길에 장을 봐왔어요.
93,내일은 아침 일찍 일어나야 해요.
94,요즘 재택근무를 하고 있어서 편해요.
95,좋아하는 가수의 콘서트 티켓을 예매했어요.
96,핸드폰 액정이 깨져서 수리하러 가야 해요.
97,오랜만에 일기를 쓰며 하루를 정리했어요.
98,친구가 추천해 준 음악이 정말 좋네요.
99,오늘 하루도 정말 고생 많았어요.
100,내일은 더 좋은 일이 생길 것 같아요.
